id,description,userName,rating
85,Map 85,qmooney,4.6
86,Map 86,victor49,3.2
87,Map 87,hclark,3.7
88,Map 88,sarahbrown,1.7
89,Map 89,brandon60,2.2
90,Map 90,nicholas92,4.0
91,Map 91,thomasgordon,4.6
92,Map 92,sydneybeck,2.2
93,Map 93,susan24,1.5
94,Map 94,nelsonmackenzie,2.6
95,Map 95,allison70,1.2
96,Map 96,joneseric,2.3
97,Map 97,james61,4.5
98,Map 98,adam50,4.8
99,Map 99,dlopez,3.6
100,Map 100,lauragibson,2.1
101,Map 101,brittanykennedy,1.1
102,Map 102,znicholson,4.5
103,Map 103,hendersonmichael,3.8
104,Map 104,angelacortez,2.0
105,Map 105,michaelwalsh,4.8
106,Map 106,hayesangel,2.4
107,Map 107,bbriggs,3.7
108,Map 108,erincook,1.0
109,Map 109,rwilliamson,2.9
110,Map 110,zhernandez,2.9
111,Map 111,leahlong,3.8
112,Map 112,jensenmeghan,3.2
113,Map 113,fwilliams,3.4
114,Map 114,awarren,3.4
115,Map 115,amyburns,4.5
116,Map 116,mccluretracey,3.2
117,Map 117,zfrancis,4.5
118,Map 118,alyssastanley,3.4
119,Map 119,gravesnatalie,4.6
120,Map 120,cynthiarose,4.0
121,Map 121,morristiffany,2.9
122,Map 122,atyler,2.1
123,Map 123,qpruitt,2.1
124,Map 124,anthonyfrey,3.5
125,Map 125,latoyarush,1.3
126,Map 126,hayesangel,1.5
127,Map 127,nicholasball,2.9
128,Map 128,khenry,3.9
129,Map 129,lindanorman,2.8
130,Map 130,kgonzalez,4.7
131,Map 131,daniel39,1.3
132,Map 132,reginavaldez,2.5
133,Map 133,williamslaura,3.6
134,Map 134,pamela24,2.1
135,Map 135,sheenabrady,3.7
136,Map 136,ryan38,3.0
137,Map 137,james61,4.6
138,Map 138,kingrussell,4.2
139,Map 139,barkerpaul,3.8
140,Map 140,yallen,4.5
141,Map 141,renee99,2.1
142,Map 142,dominguezlisa,3.0
143,Map 143,esmith,4.8
144,Map 144,michelle67,4.8
145,Map 145,zacharycarter,1.6
146,Map 146,cynthiaduran,1.7
147,Map 147,nguyenpamela,1.4
148,Map 148,reginaldward,1.1
149,Map 149,dlee,4.5
150,Map 150,richard56,2.5
151,Map 151,wilsonfrank,3.1
152,Map 152,tannermitchell,3.0
153,Map 153,douglas61,4.7
154,Map 154,michaelmyers,3.9
155,Map 155,ashleysnyder,1.9
156,Map 156,hernandezterrance,4.9
157,Map 157,latoyarush,2.6
158,Map 158,sarah03,4.9
159,Map 159,jacobscody,4.8
160,Map 160,alisonanderson,1.2
161,Map 161,scott79,3.8
162,Map 162,marvin09,4.9
163,Map 163,vcasey,2.6
164,Map 164,andrewhall,4.1
165,Map 165,deborah86,4.0
166,Map 166,patricia02,2.2
167,Map 167,huntjenny,2.0
168,Map 168,alyssastanley,1.5
169,Map 169,andrewsteresa,4.9
170,Map 170,martinheather,2.9
171,Map 171,scott79,4.7
172,Map 172,lindacruz,4.9
173,Map 173,loganrichard,1.9
174,Map 174,dwebb,1.7
175,Map 175,fwilliams,4.2
176,Map 176,gregoryturner,2.1
177,Map 177,leroy59,1.5
178,Map 178,tturner,4.2
179,Map 179,gouldjessica,3.3
180,Map 180,sextonriley,4.8
181,Map 181,scott24,3.4
182,Map 182,zmcconnell,3.3
183,Map 183,shanedavila,2.0
184,Map 184,chadglenn,3.1
185,Map 185,jonesjulia,2.5
186,Map 186,sburch,3.1
187,Map 187,james02,1.4
188,Map 188,davidroberts,4.6
189,Map 189,autumnsantiago,2.6
190,Map 190,sarah75,3.2
191,Map 191,bvaughn,4.0
192,Map 192,andrea37,2.1
193,Map 193,michaelgraves,3.5
194,Map 194,ctaylor,2.3
195,Map 195,aaustin,1.5
196,Map 196,jonesscott,4.2
197,Map 197,justinconner,3.6
198,Map 198,garciajoshua,2.7
199,Map 199,kristopher08,2.0
200,Map 200,fowlererica,4.5
201,Map 201,thomasjames,1.2
202,Map 202,reginavaldez,2.3
203,Map 203,bradfordjennifer,3.2
204,Map 204,smithmichael,1.8
205,Map 205,elizabethwilson,4.5
206,Map 206,daniel39,2.6
207,Map 207,thomasjames,2.7
208,Map 208,matthewsmith,2.8
209,Map 209,timothy10,1.8
210,Map 210,andrewhall,2.4
211,Map 211,dorispowell,2.5
212,Map 212,nicole47,2.4
213,Map 213,delgadocharles,2.9
214,Map 214,nicolesmith,4.8
215,Map 215,duncanerin,1.3
216,Map 216,montoyachristopher,3.8
217,Map 217,williamsanita,3.8
218,Map 218,rebecca95,2.0
219,Map 219,michael27,1.7
220,Map 220,singhalfred,2.9
221,Map 221,evansryan,2.6
222,Map 222,sharon29,1.5
223,Map 223,isaac88,1.5
224,Map 224,cruzdaniel,4.0
225,Map 225,smithapril,4.9
226,Map 226,nelsonbobby,1.6
227,Map 227,tracicunningham,1.5
228,Map 228,meganlong,3.6
229,Map 229,joyce99,2.2
230,Map 230,nhamilton,1.8
231,Map 231,timothy44,3.8
232,Map 232,shannonricky,3.3
233,Map 233,emily19,1.4
234,Map 234,otanner,2.4
235,Map 235,martinezsherry,2.6
236,Map 236,williamsjill,1.8
237,Map 237,amberbrown,1.4
238,Map 238,daniel71,4.5
239,Map 239,samuel67,2.9
240,Map 240,coxpaul,4.0
241,Map 241,freemanbryan,2.1
242,Map 242,david94,3.9
243,Map 243,kennethbrown,4.8
244,Map 244,omcmahon,2.1
245,Map 245,sarah75,1.9
246,Map 246,deanna93,4.5
247,Map 247,yweaver,2.2
248,Map 248,evansryan,3.8
249,Map 249,nicholassloan,4.7
250,Map 250,lisamaddox,4.7
251,Map 251,brendawilliams,3.3
252,Map 252,whitegeorge,1.9
253,Map 253,micheleyu,2.7
254,Map 254,amolina,2.3
255,Map 255,iwolfe,4.7
256,Map 256,whitemichael,2.8
257,Map 257,evansryan,3.6
258,Map 258,juliacaldwell,4.5
259,Map 259,james02,2.3
260,Map 260,stephanie67,2.8
261,Map 261,zmcconnell,2.7
262,Map 262,logan20,4.5
263,Map 263,garybeard,3.7
264,Map 264,vbush,1.1
265,Map 265,mccluretracey,3.6
266,Map 266,ejones,2.8
267,Map 267,emartin,1.5
268,Map 268,sarahburton,3.6
269,Map 269,loriclark,4.5
270,Map 270,scottseth,2.6
271,Map 271,oliversteven,1.7
272,Map 272,gjackson,1.3
273,Map 273,michellebrown,2.6
274,Map 274,daniel39,2.9
275,Map 275,odaniels,1.2
276,Map 276,danielfisher,4.8
277,Map 277,rjenkins,3.1
278,Map 278,ashley54,2.0
279,Map 279,james21,4.7
280,Map 280,bbriggs,1.3
281,Map 281,latoyarush,2.4
282,Map 282,fowlererica,2.7
283,Map 283,laurie14,2.8
284,Map 284,vcasey,1.7
285,Map 285,harrislacey,1.3
286,Map 286,thomaskristina,1.7
287,Map 287,scantrell,1.1
288,Map 288,tina45,1.9
289,Map 289,jensenmeghan,3.9
290,Map 290,darrell96,5.0
291,Map 291,dwagner,1.1
292,Map 292,lewisjeffrey,4.1
293,Map 293,kurtdavis,2.5
294,Map 294,donnaanderson,1.7
295,Map 295,williamslaura,1.7
296,Map 296,brianavila,5.0
297,Map 297,khayes,1.4
298,Map 298,ucarter,2.0
299,Map 299,smithcarla,1.7
300,Map 300,scott79,3.6
301,Map 301,fmullen,3.7
302,Map 302,alexismelendez,3.8
303,Map 303,zachary00,3.9
304,Map 304,youngmatthew,3.8
305,Map 305,mayshawn,5.0
306,Map 306,tcox,4.0
307,Map 307,nicolesmith,1.3
308,Map 308,caseykevin,2.7
309,Map 309,garciadavid,2.5
310,Map 310,marissawest,1.9
311,Map 311,richard97,2.4
312,Map 312,ronaldbell,4.9
313,Map 313,umclaughlin,4.9
314,Map 314,autumnsantiago,1.2
315,Map 315,kevinwilliamson,2.9
316,Map 316,umclaughlin,1.0
317,Map 317,logan20,3.9
318,Map 318,drakeregina,1.8
319,Map 319,gravesnatalie,3.8
320,Map 320,moralesruth,1.3
321,Map 321,lisacortez,1.1
322,Map 322,brianavila,4.8
323,Map 323,teresa49,3.7
324,Map 324,isaiahwatson,3.2
325,Map 325,angela49,4.6
326,Map 326,thomaslarson,2.4
327,Map 327,wlane,4.5
328,Map 328,kanecassidy,3.6
329,Map 329,montoyachristopher,4.0
330,Map 330,cruzdavid,1.2
331,Map 331,marktaylor,3.6
332,Map 332,michelle07,4.1
333,Map 333,julie07,2.7
334,Map 334,heatherdavis,4.9
335,Map 335,salinastodd,1.9
336,Map 336,jeffreypierce,2.7
337,Map 337,michaelgomez,2.8
338,Map 338,wrightjoseph,1.4
339,Map 339,tammy57,2.3
340,Map 340,haynesgregory,3.5
341,Map 341,delgadocharles,1.3
342,Map 342,melissa49,3.4
343,Map 343,ybailey,2.3
344,Map 344,brianhoward,1.8
345,Map 345,beckyduarte,3.8
346,Map 346,aking,1.3
347,Map 347,gerald71,1.3
348,Map 348,lbarker,1.7
349,Map 349,fwilliams,4.3
350,Map 350,codypatterson,1.7
351,Map 351,adunn,4.4
352,Map 352,gomezchristine,2.4
353,Map 353,cynthia79,3.0
354,Map 354,chenbrandon,4.5
355,Map 355,sholt,4.2
356,Map 356,yweaver,3.1
357,Map 357,ewalker,2.2
358,Map 358,shall,4.3
359,Map 359,whitegeorge,3.8
360,Map 360,lorozco,1.2
361,Map 361,sburch,3.2
362,Map 362,kellidavis,1.1
363,Map 363,xberry,1.1
364,Map 364,marybraun,2.0
365,Map 365,jonowen,3.8
366,Map 366,hernandezwilliam,3.6
367,Map 367,ryan18,5.0
368,Map 368,sburch,1.5
369,Map 369,zmcconnell,3.0
370,Map 370,woodsherry,5.0
371,Map 371,cevans,3.4
372,Map 372,weissedward,3.3
373,Map 373,todd53,2.2
374,Map 374,thomaskristina,1.0
375,Map 375,conradjohn,3.9
376,Map 376,vbrown,4.4
377,Map 377,umclaughlin,3.4
378,Map 378,hurleyshane,1.5
379,Map 379,elizabethhess,4.1
380,Map 380,mollymartinez,2.8
381,Map 381,josephmartinez,3.7
382,Map 382,wareheidi,2.7
383,Map 383,lindacruz,1.2
384,Map 384,riverasamantha,3.7
385,Map 385,carmenmcmahon,4.7
386,Map 386,dwebb,3.6
387,Map 387,daniellereed,1.1
388,Map 388,rhays,2.4
389,Map 389,kenneth53,1.8
390,Map 390,jason95,3.5
391,Map 391,veronica23,4.4
392,Map 392,baldwinjulie,1.9
393,Map 393,emorgan,1.5
394,Map 394,rhays,3.3
395,Map 395,melissa49,4.6
396,Map 396,xphillips,2.4
397,Map 397,jessebrown,2.4
398,Map 398,saracohen,1.3
399,Map 399,mayshawn,4.9
400,Map 400,johnsoncheryl,1.9
401,Map 401,julie54,1.9
402,Map 402,kcontreras,1.3
403,Map 403,gperkins,1.9
404,Map 404,jacob49,1.6
405,Map 405,pglass,3.4
406,Map 406,qpruitt,4.8
407,Map 407,fstark,4.3
408,Map 408,deborah86,2.7
409,Map 409,griffindonna,2.7
410,Map 410,wilsonfrank,2.6
411,Map 411,davisbrian,4.1
412,Map 412,joannegreene,4.4
413,Map 413,mmoore,4.0
414,Map 414,harrellmarcus,3.3
415,Map 415,stephanie87,1.3
416,Map 416,colleen50,1.6
417,Map 417,dlopez,3.4
418,Map 418,micheleguzman,3.9
419,Map 419,livingstonjustin,3.9
420,Map 420,znicholson,4.9
421,Map 421,elizabethdorsey,3.0
422,Map 422,belltina,2.5
423,Map 423,hernandezwilliam,1.3
424,Map 424,scotttodd,2.3
425,Map 425,robertsonwilliam,3.4
426,Map 426,perkinsmichelle,1.8
427,Map 427,cwaters,2.8
428,Map 428,lisamaddox,2.6
429,Map 429,ecrawford,2.2
430,Map 430,jjohnson,2.1
431,Map 431,jessicaknight,1.6
432,Map 432,salinastodd,3.0
433,Map 433,kenneth78,1.1
434,Map 434,parkerian,2.8
435,Map 435,anne63,3.7
436,Map 436,oliversteven,2.6
437,Map 437,gouldjessica,4.9
438,Map 438,daniel71,2.5
439,Map 439,scott79,2.3
440,Map 440,emma99,1.4
441,Map 441,atyler,3.3
442,Map 442,asmith,1.7
443,Map 443,kmejia,3.9
444,Map 444,otanner,2.3
445,Map 445,barryholden,1.2
446,Map 446,brandon86,1.3
447,Map 447,cadkins,3.2
448,Map 448,timothy44,2.6
449,Map 449,patricksmith,1.9
450,Map 450,justinconner,5.0
451,Map 451,jasminedurham,3.6
452,Map 452,fosterdwayne,2.3
453,Map 453,zmcconnell,1.6
454,Map 454,renee99,1.3
455,Map 455,pbarnett,3.3
456,Map 456,jonesscott,4.2
457,Map 457,margaret63,1.3
458,Map 458,adrianbishop,1.3
459,Map 459,mary89,5.0
460,Map 460,ryan38,4.8
461,Map 461,angelmartinez,2.7
462,Map 462,littledonna,2.4
463,Map 463,colleen50,3.8
464,Map 464,jessetyler,1.4
465,Map 465,xlewis,1.0
466,Map 466,hurleyshane,2.0
467,Map 467,davidsonjennifer,1.6
468,Map 468,george57,4.2
469,Map 469,montoyachristopher,2.4
470,Map 470,scott79,3.3
471,Map 471,xmartinez,2.3
472,Map 472,maymelissa,3.5
473,Map 473,jamesbrady,1.4
474,Map 474,cynthia79,4.9
475,Map 475,hurstleah,4.4
476,Map 476,watsonwilliam,3.2
477,Map 477,rbond,3.0
478,Map 478,andrew57,3.4
479,Map 479,davidbullock,1.8
480,Map 480,morganjennifer,2.9
481,Map 481,lauragibson,4.3
482,Map 482,carolyncollins,1.2
483,Map 483,kirkpatrick,4.9
484,Map 484,craigelizabeth,3.3
485,Map 485,jordanjennifer,2.3
486,Map 486,zachary84,1.5
487,Map 487,mcphersonhannah,5.0
488,Map 488,alisonanderson,4.0
489,Map 489,atyler,1.9
490,Map 490,otanner,4.6
491,Map 491,mccluretracey,2.7
492,Map 492,rhays,4.5
493,Map 493,awarren,1.1
494,Map 494,tgibson,3.9
495,Map 495,sanchezrobert,5.0
496,Map 496,linda24,1.4
497,Map 497,ialvarado,4.3
498,Map 498,rachaeldavis,4.0
499,Map 499,danielle33,3.4
500,Map 500,kimberlyfischer,4.3
501,Map 501,williamsonmackenzie,5.0
502,Map 502,kimberly58,2.2
503,Map 503,kevinwilliamson,5.0
504,Map 504,alec83,1.5
505,Map 505,abigail26,1.0
506,Map 506,craigtyler,1.1
507,Map 507,freemanbryan,4.7
508,Map 508,castrojohn,3.0
509,Map 509,dlee,4.0
510,Map 510,michaelmyers,3.4
511,Map 511,matthewsmith,2.2
512,Map 512,alexandramorris,4.2
513,Map 513,zcruz,1.5
514,Map 514,pierceemily,3.7
515,Map 515,travishughes,1.6
516,Map 516,jsmall,4.7
517,Map 517,aaustin,2.1
518,Map 518,josephcrawford,3.9
519,Map 519,kristopher08,3.6
520,Map 520,stephenjacobs,4.3
521,Map 521,justinward,1.5
522,Map 522,kenneth75,1.6
523,Map 523,james57,1.5
524,Map 524,mary82,3.6
525,Map 525,ramosmary,3.1
526,Map 526,hendersonmichael,2.0
527,Map 527,jason66,1.9
528,Map 528,lisamaddox,1.4
529,Map 529,dramirez,3.9
530,Map 530,stuart47,3.5
531,Map 531,cooleycarl,2.5
532,Map 532,wjoseph,4.1
533,Map 533,kmejia,4.5
534,Map 534,millermichael,1.4
535,Map 535,mwebster,4.5
536,Map 536,zcruz,3.1
537,Map 537,tammy57,2.5
538,Map 538,gonzaleseddie,1.2
539,Map 539,martinkristin,3.0
540,Map 540,tcox,3.0
541,Map 541,johnny36,1.8
542,Map 542,gibsonandrew,3.5
543,Map 543,christopherskinner,4.9
544,Map 544,stephenjacobs,3.7
545,Map 545,michelle07,3.7
546,Map 546,andrea84,4.7
547,Map 547,ijames,4.5
548,Map 548,andrew95,4.2
549,Map 549,angela49,4.1
550,Map 550,danielfisher,3.9
551,Map 551,stacybrown,4.0
552,Map 552,destiny66,2.8
553,Map 553,yallen,1.7
554,Map 554,zhernandez,3.0
555,Map 555,davidbullock,2.1
556,Map 556,angelacortez,3.0
557,Map 557,tgibson,3.6
558,Map 558,bwhite,4.7
559,Map 559,zhernandez,2.8
560,Map 560,felicia04,2.0
561,Map 561,kimberlypatel,3.8
562,Map 562,qmiller,2.8
563,Map 563,jesse24,4.2
564,Map 564,owensdylan,3.6
565,Map 565,stefanie40,3.3
566,Map 566,asmith,2.8
567,Map 567,jonathanwilliamson,1.8
568,Map 568,rickey16,2.8
569,Map 569,michele56,2.4
570,Map 570,aclark,4.8
571,Map 571,alisonanderson,4.2
572,Map 572,thomaskristina,4.9
573,Map 573,ryan18,4.5
574,Map 574,mary89,2.9
575,Map 575,kiara58,4.2
576,Map 576,alexismelendez,4.2
577,Map 577,coxpaul,1.2
578,Map 578,millerlinda,2.1
579,Map 579,kiara58,2.5
580,Map 580,talvarez,3.9
581,Map 581,omcmahon,1.8
582,Map 582,tgibson,4.2
583,Map 583,andreajones,3.1
584,Map 584,nhamilton,4.6
585,Map 585,melissa82,3.6
586,Map 586,joyce99,1.2
587,Map 587,nicholasball,1.5
588,Map 588,qpruitt,2.6
589,Map 589,troy18,2.2
590,Map 590,mallory31,1.1
591,Map 591,xjohnson,3.7
592,Map 592,meyersteven,4.6
593,Map 593,saracohen,3.6
594,Map 594,barkerpaul,1.5
595,Map 595,jeffreypierce,3.6
596,Map 596,dsmith,2.6
597,Map 597,singhalfred,4.6
598,Map 598,kriggs,1.6
599,Map 599,bradley61,1.5
600,Map 600,leroy59,1.5
601,Map 601,jenna40,4.9
602,Map 602,tarawheeler,1.1
603,Map 603,scotttodd,3.7
604,Map 604,watkinssarah,2.0
605,Map 605,eadams,4.6
606,Map 606,sharon07,3.4
607,Map 607,schmidtannette,4.9
608,Map 608,isaiahwatson,4.0
609,Map 609,laura06,5.0
610,Map 610,eric28,1.0
611,Map 611,carterzoe,3.5
612,Map 612,jbraun,4.2
613,Map 613,htorres,2.8
614,Map 614,michellesalinas,4.8
615,Map 615,lorozco,2.1
616,Map 616,pbarnett,3.8
617,Map 617,shannonricky,4.5
618,Map 618,garciajoshua,2.7
619,Map 619,theresa71,1.0
620,Map 620,yayers,2.2
621,Map 621,stephanie68,4.3
622,Map 622,elizabethgarcia,1.6
623,Map 623,ivasquez,4.5
624,Map 624,iroach,2.3
625,Map 625,esmith,4.6
626,Map 626,amberbrown,4.5
627,Map 627,ricejesse,3.3
628,Map 628,williamslaura,2.4
629,Map 629,egeorge,2.8
630,Map 630,margaret63,4.8
631,Map 631,dlee,4.7
632,Map 632,juan08,1.5
633,Map 633,baldwinkatherine,2.1
634,Map 634,andersonlori,4.3
635,Map 635,aaron62,3.9
636,Map 636,craig62,3.1
637,Map 637,andrew95,4.7
638,Map 638,melissajoseph,3.8
639,Map 639,apeterson,3.6
640,Map 640,suzannewoods,3.2
641,Map 641,marybraun,4.8
642,Map 642,hayden62,3.6
643,Map 643,asmith,1.9
644,Map 644,louis89,4.8
645,Map 645,staceybartlett,1.6
646,Map 646,anthonyfrey,4.2
647,Map 647,ijames,3.9
648,Map 648,lindsay66,4.7
649,Map 649,weissedward,2.7
650,Map 650,wilsonfrank,1.8
651,Map 651,ewalker,4.5
652,Map 652,morganjennifer,2.4
653,Map 653,xlane,3.5
654,Map 654,orozcoandrew,1.2
655,Map 655,mayshawn,4.1
656,Map 656,andrewsteresa,2.7
657,Map 657,evansryan,4.9
658,Map 658,theresa77,1.5
659,Map 659,holmesstacy,2.6
660,Map 660,omooney,3.2
661,Map 661,weissedward,5.0
662,Map 662,rebecca03,1.1
663,Map 663,zglass,4.4
664,Map 664,tlopez,3.5
665,Map 665,kirkpatrick,4.1
666,Map 666,davistina,4.8
667,Map 667,joneseric,1.1
668,Map 668,delgadocharles,3.1
669,Map 669,hardyjeffrey,3.0
670,Map 670,sabrina69,4.9
671,Map 671,riosbethany,1.2
672,Map 672,ogeorge,1.8
673,Map 673,khernandez,2.6
674,Map 674,johnsontravis,4.5
675,Map 675,xwade,2.1
676,Map 676,duranronald,3.8
677,Map 677,millerlinda,5.0
678,Map 678,kelleydaniel,2.3
679,Map 679,wlane,3.3
680,Map 680,ufoster,4.8
681,Map 681,taylorsmith,1.1
682,Map 682,denise28,4.9
683,Map 683,james67,4.4
684,Map 684,phernandez,1.9
685,Map 685,stephensdaniel,3.3
686,Map 686,barkerpaul,3.5
687,Map 687,alexanderbrian,4.2
688,Map 688,randall70,1.4
689,Map 689,fowen,4.0
690,Map 690,michelle07,4.5
691,Map 691,williamsanita,2.5
692,Map 692,riveraashley,3.9
693,Map 693,thomasgordon,3.8
694,Map 694,markgonzales,3.8
695,Map 695,lisa72,2.2
696,Map 696,tturner,4.7
697,Map 697,david94,2.2
698,Map 698,xpeterson,1.7
699,Map 699,andrea37,1.9
700,Map 700,alyssa82,4.3
701,Map 701,morrisonwillie,1.9
702,Map 702,andrewsteresa,4.0
703,Map 703,itodd,2.7
704,Map 704,bbriggs,3.4
705,Map 705,andreajones,2.5
706,Map 706,dramirez,4.4
707,Map 707,morganlowe,4.5
708,Map 708,sean58,3.7
709,Map 709,clarkbailey,1.9
710,Map 710,emily19,2.3
711,Map 711,wiseadam,4.5
712,Map 712,wallacedarryl,1.6
713,Map 713,joyce99,3.1
714,Map 714,shart,3.9
715,Map 715,deborah23,2.7
716,Map 716,teresa49,4.0
717,Map 717,phall,1.8
718,Map 718,yorkkatherine,4.6
719,Map 719,juliewilliams,4.5
720,Map 720,guerrerobrenda,4.5
721,Map 721,drakeregina,1.3
722,Map 722,ericrodriguez,2.6
723,Map 723,zrandall,3.3
724,Map 724,stanleykeith,2.9
725,Map 725,montoyachristopher,3.6
726,Map 726,padillajoseph,4.8
727,Map 727,williamross,2.0
728,Map 728,rhodge,4.4
729,Map 729,iwolfe,4.0
730,Map 730,theresa77,1.3
731,Map 731,maurice19,4.5
732,Map 732,vbrooks,2.4
733,Map 733,francisco33,4.3
734,Map 734,taylorsmith,1.5
735,Map 735,nicolesmith,1.7
736,Map 736,billy26,3.3
737,Map 737,khayes,3.8
738,Map 738,logan20,4.9
739,Map 739,melissa49,3.7
740,Map 740,hcuevas,2.1
741,Map 741,rcurry,1.1
742,Map 742,isimmons,1.4
743,Map 743,bryantjulie,4.4
744,Map 744,andersonlori,1.2
745,Map 745,andrewhall,4.7
746,Map 746,zcook,1.9
747,Map 747,brandi75,1.7
748,Map 748,felicia04,3.0
749,Map 749,henryanthony,4.9
750,Map 750,sonyasmith,2.3
751,Map 751,billy26,4.7
752,Map 752,josephmartinez,4.4
753,Map 753,amy88,4.3
754,Map 754,deborah86,1.8
755,Map 755,waynemorgan,3.9
756,Map 756,parkerian,4.1
757,Map 757,heidigreen,2.8
758,Map 758,sandraowens,4.6
759,Map 759,stefanie40,4.2
760,Map 760,tgibson,1.5
761,Map 761,dennismelissa,2.1
762,Map 762,jtucker,1.5
763,Map 763,caroline25,1.8
764,Map 764,parkerian,2.5
765,Map 765,qboyd,1.0
766,Map 766,micheal08,4.1
767,Map 767,aking,2.1
768,Map 768,loriclark,4.4
769,Map 769,gary86,2.0
770,Map 770,hatfieldchristine,4.9
771,Map 771,qbradshaw,1.2
772,Map 772,ginawood,2.1
773,Map 773,lisa72,2.5
774,Map 774,suzanne58,2.1
775,Map 775,maria65,1.6
776,Map 776,williamsonmackenzie,4.7
777,Map 777,brianmueller,1.8
778,Map 778,melissa16,4.7
779,Map 779,jessicadavis,3.8
780,Map 780,parkerhaley,2.6
781,Map 781,jonathancampbell,1.1
782,Map 782,fmoore,1.2
783,Map 783,zjenkins,2.0
784,Map 784,huntkimberly,4.1
785,Map 785,gouldjessica,2.6
786,Map 786,ricejesse,2.9
787,Map 787,margaret63,1.2
788,Map 788,wking,4.3
789,Map 789,bwhite,3.4
790,Map 790,urobinson,4.6
791,Map 791,alexis29,4.2
792,Map 792,johnwade,1.2
793,Map 793,danielwood,4.2
794,Map 794,esmith,3.3
795,Map 795,wilsonfrank,2.9
796,Map 796,ramirezalexis,1.9
797,Map 797,caroline25,1.1
798,Map 798,kristinahenderson,2.8
799,Map 799,kirkpatrick,3.1
800,Map 800,zacharyclark,4.6
801,Map 801,kingwilliam,1.7
802,Map 802,sarahgraves,1.6
803,Map 803,qmiller,3.2
804,Map 804,josephsmith,3.8
805,Map 805,angela05,3.0
806,Map 806,vbrooks,2.0
807,Map 807,fgriffin,3.6
808,Map 808,iwolfe,4.8
809,Map 809,guerreroheidi,3.3
810,Map 810,johnhale,3.5
811,Map 811,amandaryan,3.5
812,Map 812,michaelwalsh,2.6
813,Map 813,clarkbailey,1.8
814,Map 814,melissa82,2.7
815,Map 815,james21,3.5
816,Map 816,shall,4.5
817,Map 817,emily19,3.9
818,Map 818,cgomez,1.8
819,Map 819,baldwinjulie,2.1
820,Map 820,wagnermadison,1.2
821,Map 821,stephanie87,3.5
822,Map 822,wigginsyvonne,4.4
823,Map 823,millerlinda,4.0
824,Map 824,beckyduarte,2.2
825,Map 825,joseph82,2.4
826,Map 826,andrew57,3.6
827,Map 827,michaelmyers,2.8
828,Map 828,mgriffin,4.3
829,Map 829,jonesscott,1.5
830,Map 830,gibsonjames,2.7
831,Map 831,jacob49,4.4
832,Map 832,deborah23,3.8
